description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
Phased system-worthy conglomeration,5300.0,1592.0,failed,16,US,USD,2020-01-15,2021-02-03,cat4,subcat4
Balanced mobile alliance,1200.0,14150.0,successful,130,US,USD,2020-07-12,2021-07-10,cat4,subcat4
Reactive solution-oriented groupware,1200.0,13513.0,successful,122,US,USD,2021-03-30,2021-07-15,cat2,subcat6
Exclusive bandwidth-monitored orchestration,3900.0,504.0,failed,17,US,USD,2021-07-27,2021-09-17,cat4,subcat4
Intuitive exuding initiative,2000.0,14240.0,successful,140,US,USD,2020-10-12,2021-11-30,cat4,subcat4
Streamlined needs-based knowledge user,6900.0,2091.0,failed,34,US,USD,2020-07-21,2021-06-11,cat3,subcat9
Automated system-worthy structure,55800.0,118580.0,successful,3388,US,USD,2020-12-25,2021-08-06,cat3,subcat3
Secured clear-thinking intranet,4900.0,11214.0,successful,280,US,USD,2021-02-25,2021-04-28,cat4,subcat4
Cloned actuating architecture,194900.0,68137.0,canceled,614,US,USD,2020-07-13,2021-06-20,cat5,subcat11
Down-sized needs-based task-force,8600.0,13527.0,successful,366,IT,EUR,2020-08-20,2021-04-08,cat3,subcat9
Extended responsive Internet solution,100.0,1.0,failed,1,GB,GBP,2021-06-11,2021-06-28,cat2,subcat6
Universal value-added moderator,3600.0,8363.0,successful,270,US,USD,2021-03-08,2021-07-22,cat6,subcat10
Sharable motivating emulation,5800.0,5362.0,canceled,114,US,USD,2020-12-24,2021-08-29,cat4,subcat4
Networked web-enabled product,4700.0,12065.0,successful,137,US,USD,2021-06-10,2022-01-08,cat8,subcat15
Advanced dedicated encoding,70400.0,118603.0,successful,3205,US,USD,2020-09-01,2021-07-09,cat4,subcat4
Stand-alone multi-state project,4500.0,7496.0,successful,288,DK,DKK,2021-03-17,2021-08-10,cat4,subcat4
Customizable bi-directional monitoring,1300.0,10037.0,successful,148,US,USD,2021-01-23,2021-11-08,cat4,subcat4
Profit-focused motivating function,1400.0,5696.0,successful,114,US,USD,2020-05-20,2021-03-06,cat5,subcat7
Proactive systemic firmware,29600.0,167005.0,successful,1518,CA,CAD,2021-11-02,2021-11-10,cat2,subcat2
Grass-roots upward-trending installation,167500.0,114615.0,failed,1274,US,USD,2020-01-19,2021-03-14,cat2,subcat6
Virtual heuristic hub,48300.0,16592.0,failed,210,IT,EUR,2021-08-21,2021-11-19,cat7,subcat12
Customizable leadingedge model,2200.0,14420.0,successful,166,US,USD,2021-07-03,2021-07-22,cat2,subcat2
Upgradable uniform service-desk,3500.0,6204.0,successful,100,AU,AUD,2021-04-22,2021-07-19,cat2,subcat18
Inverse client-driven product,5600.0,6338.0,successful,235,US,USD,2020-07-22,2021-07-15,cat4,subcat4
Managed bandwidth-monitored system engine,1100.0,8010.0,successful,148,US,USD,2021-09-27,2021-11-24,cat2,subcat2
Advanced transitional help-desk,3900.0,8125.0,successful,198,US,USD,2020-09-05,2021-04-21,cat2,subcat8
De-engineered disintermediate encryption,43800.0,13653.0,failed,248,AU,AUD,2021-01-26,2022-01-18,cat5,subcat23
Upgradable attitude-oriented project,97200.0,55372.0,failed,513,US,USD,2020-12-17,2021-05-27,cat6,subcat19
Fundamental zero tolerance alliance,4800.0,11088.0,successful,150,US,USD,2020-10-01,2021-08-11,cat4,subcat4
Devolved 24hour forecast,125600.0,109106.0,failed,3410,US,USD,2021-01-26,2021-01-30,cat7,subcat12
User-centric attitude-oriented intranet,4300.0,11642.0,successful,216,IT,EUR,2021-02-17,2021-06-02,cat4,subcat4
Self-enabling 5thgeneration paradigm,5600.0,2769.0,canceled,26,US,USD,2020-07-04,2021-02-14,cat4,subcat4
Persistent 3rdgeneration moratorium,149600.0,169586.0,successful,5139,US,USD,2021-07-10,2022-01-12,cat2,subcat8
Cross-platform empowering project,53100.0,101185.0,successful,2353,US,USD,2021-04-12,2021-04-21,cat4,subcat4
Polarized user-facing interface,5000.0,6775.0,successful,78,IT,EUR,2020-12-21,2021-12-01,cat3,subcat3
Customer-focused non-volatile framework,9400.0,968.0,failed,10,US,USD,2021-02-21,2021-06-16,cat2,subcat2
Synchronized multimedia frame,110800.0,72623.0,failed,2201,US,USD,2021-06-08,2021-11-23,cat4,subcat4
Open-architected stable algorithm,93800.0,45987.0,failed,676,US,USD,2020-11-30,2021-05-07,cat4,subcat4
Cross-platform optimizing website,1300.0,10243.0,successful,174,CH,CHF,2020-09-08,2021-02-13,cat5,subcat11
Public-key actuating projection,108700.0,87293.0,failed,831,US,USD,2020-12-18,2021-03-14,cat4,subcat4
Implemented intangible instruction set,5100.0,5421.0,successful,164,US,USD,2021-02-19,2021-04-09,cat5,subcat7
Cross-group interactive architecture,8700.0,4414.0,canceled,56,CH,CHF,2021-11-15,2021-12-26,cat4,subcat4
Centralized asymmetric framework,5100.0,10981.0,successful,161,US,USD,2021-03-07,2021-06-15,cat5,subcat11
Down-sized systematic utilization,7400.0,10451.0,successful,138,US,USD,2021-04-18,2021-11-18,cat2,subcat2
Profound fault-tolerant model,88900.0,102535.0,successful,3308,US,USD,2021-09-25,2021-09-28,cat3,subcat3
Multi-channeled bi-directional moratorium,6700.0,12939.0,successful,127,AU,AUD,2021-10-07,2021-11-16,cat5,subcat11
Object-based content-based ability,1500.0,10946.0,successful,207,IT,EUR,2020-12-01,2021-07-19,cat2,subcat18
Progressive coherent secured line,61200.0,60994.0,failed,859,CA,CAD,2021-02-27,2021-11-06,cat2,subcat2
Synchronized directional capability,3600.0,3174.0,live,31,US,USD,2020-09-25,2021-05-18,cat5,subcat11
Cross-platform composite migration,9000.0,3351.0,failed,45,US,USD,2020-03-08,2021-03-25,cat4,subcat4
Operative local pricing structure,185900.0,56774.0,canceled,1113,US,USD,2021-11-26,2021-12-31,cat4,subcat4
Optional web-enabled extranet,2100.0,540.0,failed,6,US,USD,2021-09-23,2022-01-18,cat1,subcat1
Reduced 6thgeneration intranet,2000.0,680.0,failed,7,US,USD,2021-08-12,2021-10-04,cat4,subcat4
Networked disintermediate leverage,1100.0,13045.0,successful,181,CH,CHF,2020-06-09,2021-05-01,cat6,subcat10
Optional optimal website,6600.0,8276.0,successful,110,US,USD,2021-10-06,2021-12-18,cat2,subcat2
Stand-alone asynchronous functionalities,7100.0,1022.0,failed,31,US,USD,2020-12-02,2021-07-02,cat5,subcat7
Profound full-range open system,7800.0,4275.0,failed,78,US,USD,2021-02-10,2021-04-14,cat7,subcat21
Optional tangible utilization,7600.0,8332.0,successful,185,US,USD,2021-08-12,2021-11-23,cat3,subcat3
Seamless maximized product,3400.0,6408.0,successful,121,US,USD,2020-04-11,2021-01-28,cat4,subcat4
Devolved tertiary time-frame,84500.0,73522.0,failed,1225,GB,GBP,2021-07-13,2021-08-29,cat4,subcat4
Centralized regional function,100.0,1.0,failed,1,CH,CHF,2021-06-17,2021-07-16,cat2,subcat2
User-friendly high-level initiative,2300.0,4667.0,successful,106,US,USD,2020-11-04,2021-10-29,cat8,subcat15
Reverse-engineered zero-defect infrastructure,6200.0,12216.0,successful,142,US,USD,2020-09-30,2021-09-07,cat8,subcat15
Stand-alone background customer loyalty,6100.0,6527.0,successful,233,US,USD,2020-07-17,2021-07-12,cat4,subcat4
Business-focused discrete software,2600.0,6987.0,successful,218,US,USD,2021-05-31,2021-09-19,cat2,subcat2
Advanced intermediate Graphic Interface,9700.0,4932.0,failed,67,AU,AUD,2021-01-18,2021-06-12,cat5,subcat5
Adaptive holistic hub,700.0,8262.0,successful,76,US,USD,2020-10-04,2021-07-30,cat5,subcat7
Automated uniform concept,700.0,1848.0,successful,43,US,USD,2021-05-25,2021-09-11,cat4,subcat4
Enhanced regional flexibility,5200.0,1583.0,failed,19,US,USD,2021-01-02,2021-05-11,cat1,subcat1
Public-key bottom-line algorithm,140800.0,88536.0,failed,2108,CH,CHF,2020-07-12,2021-03-27,cat5,subcat5
Multi-layered intangible instruction set,6400.0,12360.0,successful,221,US,USD,2020-08-19,2021-01-28,cat4,subcat4
Fundamental methodical emulation,92500.0,71320.0,failed,679,US,USD,2021-08-01,2021-10-14,cat7,subcat12
Expanded value-added hardware,59700.0,134640.0,successful,2805,CA,CAD,2020-12-17,2021-06-11,cat6,subcat10
Diverse high-level attitude,3200.0,7661.0,successful,68,US,USD,2020-11-29,2021-03-01,cat7,subcat12
Visionary 24hour analyzer,3200.0,2950.0,failed,36,DK,DKK,2021-08-13,2021-12-26,cat2,subcat2
Centralized bandwidth-monitored leverage,9000.0,11721.0,successful,183,CA,CAD,2021-03-29,2021-11-27,cat2,subcat2
Ergonomic mission-critical moratorium,2300.0,14150.0,successful,133,US,USD,2020-12-06,2021-02-27,cat4,subcat4
Front-line intermediate moderator,51300.0,189192.0,successful,2489,IT,EUR,2020-10-25,2021-04-24,cat6,subcat10
Automated local secured line,700.0,7664.0,successful,69,US,USD,2021-11-10,2022-01-12,cat4,subcat4
Integrated bandwidth-monitored alliance,8900.0,4509.0,failed,47,US,USD,2021-02-02,2021-09-26,cat7,subcat12
Cross-group heuristic forecast,1500.0,12009.0,successful,279,GB,GBP,2021-02-13,2021-12-04,cat2,subcat2
Extended impactful secured line,4900.0,14273.0,successful,210,US,USD,2021-01-08,2021-11-09,cat5,subcat5
Distributed optimizing protocol,54000.0,188982.0,successful,2100,US,USD,2020-02-17,2021-01-07,cat2,subcat2
Secured well-modulated system engine,4100.0,14640.0,successful,252,US,USD,2021-01-01,2021-04-05,cat2,subcat2
Streamlined national benchmark,85000.0,107516.0,successful,1280,US,USD,2020-07-21,2021-03-11,cat6,subcat10
Open-architected 24/7 infrastructure,3600.0,13950.0,successful,157,GB,GBP,2020-05-31,2021-05-13,cat5,subcat13
Digitized 6thgeneration Local Area Network,2800.0,12797.0,successful,194,US,USD,2021-01-30,2021-09-14,cat4,subcat4
Innovative actuating artificial intelligence,2300.0,6134.0,successful,82,AU,AUD,2020-09-30,2021-03-29,cat5,subcat7
Cross-platform reciprocal budgetary management,7100.0,4899.0,failed,70,US,USD,2021-02-12,2021-06-29,cat4,subcat4
Vision-oriented scalable portal,9600.0,4929.0,failed,154,US,USD,2020-12-17,2021-07-16,cat4,subcat4
Persevering zero administration knowledge user,121600.0,1424.0,failed,22,US,USD,2021-09-29,2021-11-21,cat4,subcat4
Front-line bottom-line Graphic Interface,97100.0,105817.0,successful,4233,US,USD,2020-05-05,2021-03-12,cat8,subcat15
Synergized fault-tolerant hierarchy,43200.0,136156.0,successful,1297,DK,DKK,2020-10-28,2021-08-14,cat6,subcat19
Expanded asynchronous groupware,6800.0,10723.0,successful,165,DK,DKK,2021-02-01,2021-05-29,cat6,subcat19
Expanded fault-tolerant emulation,7300.0,11228.0,successful,119,US,USD,2021-06-15,2021-07-20,cat4,subcat4
Future-proofed 24hour model,86200.0,77355.0,failed,1758,US,USD,2020-05-06,2021-02-09,cat3,subcat3
Optimized didactic intranet,8100.0,6086.0,failed,94,US,USD,2020-09-02,2021-08-06,cat2,subcat8
Right-sized dedicated standardization,17700.0,150960.0,successful,1797,US,USD,2021-06-11,2021-08-22,cat2,subcat18
Vision-oriented high-level extranet,6400.0,8890.0,successful,261,US,USD,2021-03-23,2021-09-23,cat4,subcat4
Organized scalable initiative,7700.0,14644.0,successful,157,US,USD,2021-09-19,2021-11-01,cat5,subcat5
Enhanced regional moderator,116300.0,116583.0,successful,3533,US,USD,2021-05-10,2021-11-19,cat4,subcat4
Automated even-keeled emulation,9100.0,12991.0,successful,155,US,USD,2020-10-11,2021-03-10,cat3,subcat3
Reverse-engineered multi-tasking product,1500.0,8447.0,successful,132,IT,EUR,2021-03-21,2021-05-25,cat3,subcat9
De-engineered next generation parallelism,8800.0,2703.0,failed,33,US,USD,2021-02-22,2021-06-21,cat8,subcat15
Intuitive cohesive groupware,8800.0,8747.0,canceled,94,US,USD,2021-09-15,2021-10-26,cat5,subcat5
Up-sized high-level access,69900.0,138087.0,successful,1354,GB,GBP,2021-11-17,2021-11-28,cat3,subcat3
Phased empowering success,1000.0,5085.0,successful,48,US,USD,2021-06-07,2021-11-30,cat3,subcat3
Distributed actuating project,4700.0,11174.0,successful,110,US,USD,2021-03-22,2021-06-09,cat1,subcat1
Robust motivating orchestration,3200.0,10831.0,successful,172,US,USD,2020-02-01,2021-02-08,cat5,subcat7
Vision-oriented uniform instruction set,6700.0,8917.0,successful,307,US,USD,2021-03-27,2021-10-09,cat2,subcat8
Cross-group upward-trending hierarchy,100.0,1.0,failed,1,US,USD,2020-04-04,2021-03-11,cat2,subcat2
Object-based needs-based info-mediaries,6000.0,12468.0,successful,160,US,USD,2021-10-23,2021-11-20,cat2,subcat6
Open-source reciprocal standardization,4900.0,2505.0,failed,31,US,USD,2020-09-28,2021-03-31,cat7,subcat12
Secured well-modulated projection,17100.0,111502.0,successful,1467,CA,CAD,2020-09-09,2021-09-05,cat2,subcat8
Multi-channeled secondary middleware,171000.0,194309.0,successful,2662,CA,CAD,2021-07-15,2021-10-23,cat6,subcat14
Horizontal clear-thinking framework,23400.0,23956.0,successful,452,AU,AUD,2021-04-06,2021-07-20,cat4,subcat4
Profound composite core,2400.0,8558.0,successful,158,US,USD,2021-06-29,2021-10-21,cat1,subcat1
Programmable disintermediate matrices,5300.0,7413.0,successful,225,CH,CHF,2021-08-30,2021-12-03,cat5,subcat13
Realigned 5thgeneration knowledge user,4000.0,2778.0,failed,35,US,USD,2021-02-16,2022-01-17,cat1,subcat1
Multi-layered upward-trending groupware,7300.0,2594.0,failed,63,US,USD,2020-10-31,2021-11-12,cat4,subcat4
Re-contextualized leadingedge firmware,2000.0,5033.0,successful,65,US,USD,2021-02-02,2021-09-17,cat3,subcat9
Devolved disintermediate analyzer,8800.0,9317.0,successful,163,US,USD,2020-12-26,2021-09-07,cat4,subcat4
Profound disintermediate open system,3500.0,6560.0,successful,85,US,USD,2021-05-12,2021-08-12,cat4,subcat4
Automated reciprocal protocol,1400.0,5415.0,successful,217,US,USD,2020-08-22,2021-08-03,cat5,subcat20
Automated static workforce,4200.0,14577.0,successful,150,US,USD,2021-01-25,2021-02-21,cat5,subcat13
Horizontal attitude-oriented help-desk,81000.0,150515.0,successful,3272,US,USD,2021-07-01,2021-10-21,cat4,subcat4
Versatile 5thgeneration matrices,182800.0,79045.0,canceled,898,US,USD,2021-06-28,2021-12-17,cat8,subcat15
Cross-platform next generation service-desk,4800.0,7797.0,successful,300,US,USD,2021-11-23,2022-01-14,cat1,subcat1
Front-line web-enabled installation,7000.0,12939.0,successful,126,US,USD,2020-09-23,2021-04-29,cat4,subcat4
Multi-channeled responsive product,161900.0,38376.0,failed,526,US,USD,2020-06-08,2021-04-07,cat5,subcat7
Adaptive demand-driven encryption,7700.0,6920.0,failed,121,US,USD,2020-05-11,2021-03-18,cat4,subcat4
Re-engineered client-driven knowledge user,71500.0,194912.0,successful,2320,US,USD,2021-03-16,2021-06-26,cat4,subcat4
Compatible logistical paradigm,4700.0,7992.0,successful,81,AU,AUD,2021-08-22,2021-10-12,cat5,subcat23
Intuitive value-added installation,42100.0,79268.0,successful,1887,US,USD,2020-07-17,2021-04-11,cat8,subcat15
Managed discrete parallelism,40200.0,139468.0,successful,4358,US,USD,2020-03-21,2021-03-07,cat8,subcat15
Implemented tangible approach,7900.0,5465.0,failed,67,US,USD,2020-12-25,2021-12-16,cat2,subcat2
Re-engineered encompassing definition,8300.0,2111.0,failed,57,CA,CAD,2021-12-29,2022-01-16,cat8,subcat15
Multi-lateral uniform collaboration,163600.0,126628.0,failed,1229,US,USD,2020-11-08,2021-01-22,cat1,subcat1
Enterprise-wide foreground paradigm,2700.0,1012.0,failed,12,IT,EUR,2020-09-07,2021-07-05,cat2,subcat17
Stand-alone incremental parallelism,1000.0,5438.0,successful,53,US,USD,2021-02-27,2021-03-03,cat6,subcat10
Persevering 5thgeneration throughput,84500.0,193101.0,successful,2414,US,USD,2021-01-11,2021-06-17,cat2,subcat6
Implemented object-oriented synergy,81300.0,31665.0,failed,452,US,USD,2020-12-24,2021-12-18,cat4,subcat4
Balanced demand-driven definition,800.0,2960.0,successful,80,US,USD,2021-01-18,2021-09-25,cat4,subcat4
Customer-focused mobile Graphic Interface,3400.0,8089.0,successful,193,US,USD,2020-06-26,2021-06-10,cat5,subcat13
Horizontal secondary interface,170800.0,109374.0,failed,1886,US,USD,2020-05-17,2021-04-25,cat4,subcat4
Virtual analyzing collaboration,1800.0,2129.0,successful,52,US,USD,2020-06-12,2021-04-30,cat4,subcat4
Multi-tiered explicit focus group,150600.0,127745.0,failed,1825,US,USD,2021-02-01,2022-01-16,cat2,subcat8
Multi-layered systematic knowledgebase,7800.0,2289.0,failed,31,US,USD,2021-03-13,2021-12-08,cat4,subcat4
Reverse-engineered uniform knowledge user,5800.0,12174.0,successful,290,US,USD,2021-10-26,2021-11-09,cat4,subcat4
Secured dynamic capacity,5600.0,9508.0,successful,122,US,USD,2020-12-13,2021-04-30,cat2,subcat6
Devolved foreground throughput,134400.0,155849.0,successful,1470,US,USD,2021-07-11,2021-09-17,cat2,subcat8
Synchronized demand-driven infrastructure,3000.0,7758.0,successful,165,CA,CAD,2020-12-13,2021-08-15,cat5,subcat5
Realigned discrete structure,6000.0,13835.0,successful,182,US,USD,2020-11-02,2021-09-04,cat6,subcat19
Progressive grid-enabled website,8400.0,10770.0,successful,199,IT,EUR,2020-10-04,2021-07-20,cat5,subcat5
Organic cohesive neural-net,1700.0,3208.0,successful,56,GB,GBP,2020-12-05,2021-12-04,cat5,subcat20
Integrated demand-driven info-mediaries,159800.0,11108.0,failed,107,US,USD,2021-03-25,2021-10-04,cat4,subcat4
Reverse-engineered client-server extranet,19800.0,153338.0,successful,1460,AU,AUD,2020-06-20,2021-05-23,cat1,subcat1
Organized discrete encoding,8800.0,2437.0,failed,27,US,USD,2020-11-10,2021-03-17,cat4,subcat4
Balanced regional flexibility,179100.0,93991.0,failed,1221,US,USD,2020-05-11,2021-06-01,cat5,subcat5
Implemented multimedia time-frame,3100.0,12620.0,successful,123,CH,CHF,2020-08-19,2021-06-02,cat2,subcat18
Enhanced uniform service-desk,100.0,2.0,failed,1,US,USD,2020-09-23,2021-06-06,cat3,subcat3
Versatile bottom-line definition,5600.0,8746.0,successful,159,US,USD,2021-05-01,2022-01-18,cat2,subcat2
Integrated bifurcated software,1400.0,3534.0,successful,110,US,USD,2021-01-11,2021-07-02,cat3,subcat3
Assimilated next generation instruction set,41000.0,709.0,live,14,US,USD,2020-02-15,2021-02-23,cat6,subcat10
Digitized foreground array,6500.0,795.0,failed,16,US,USD,2020-06-16,2021-05-25,cat6,subcat16
Re-engineered clear-thinking project,7900.0,12955.0,successful,236,US,USD,2020-08-29,2021-10-06,cat4,subcat4
Implemented even-keeled standardization,5500.0,8964.0,successful,191,US,USD,2020-10-11,2021-07-04,cat5,subcat5
Quality-focused asymmetric adapter,9100.0,1843.0,failed,41,US,USD,2020-11-21,2021-11-18,cat4,subcat4
Networked intangible help-desk,38200.0,121950.0,successful,3934,US,USD,2021-02-04,2021-08-06,cat7,subcat12
Synchronized attitude-oriented frame,1800.0,8621.0,successful,80,CA,CAD,2020-08-19,2021-04-27,cat4,subcat4
Proactive incremental architecture,154500.0,30215.0,canceled,296,US,USD,2020-11-27,2021-06-29,cat4,subcat4
Cloned responsive standardization,5800.0,11539.0,successful,462,US,USD,2020-09-08,2021-04-12,cat3,subcat3
Reduced bifurcated pricing structure,1800.0,14310.0,successful,179,US,USD,2020-08-26,2021-08-05,cat5,subcat7
Re-engineered asymmetric challenge,70200.0,35536.0,failed,523,AU,AUD,2021-02-21,2021-03-13,cat5,subcat7
Diverse client-driven conglomeration,6400.0,3676.0,failed,141,GB,GBP,2021-02-26,2021-05-02,cat4,subcat4
Configurable upward-trending solution,125900.0,195936.0,successful,1866,GB,GBP,2021-01-30,2021-06-11,cat5,subcat20
Persistent bandwidth-monitored framework,3700.0,1343.0,failed,52,US,USD,2020-07-07,2021-07-27,cat8,subcat15
Polarized discrete product,3600.0,2097.0,live,27,GB,GBP,2020-11-13,2021-03-21,cat5,subcat13
Seamless dynamic website,3800.0,9021.0,successful,156,CH,CHF,2020-06-16,2021-01-24,cat6,subcat16
Extended multimedia firmware,35600.0,20915.0,failed,225,AU,AUD,2020-11-18,2021-11-16,cat4,subcat4
Versatile directional project,5300.0,9676.0,successful,255,US,USD,2020-09-03,2021-04-30,cat5,subcat11
Profound directional knowledge user,160400.0,1210.0,failed,38,US,USD,2021-02-19,2021-07-23,cat3,subcat3
Ameliorated logistical capability,51400.0,90440.0,successful,2261,US,USD,2020-10-13,2021-02-22,cat2,subcat22
Sharable discrete definition,1700.0,4044.0,successful,40,US,USD,2020-07-15,2021-07-29,cat4,subcat4
User-friendly next generation core,39400.0,192292.0,successful,2289,IT,EUR,2021-12-08,2022-01-01,cat4,subcat4
Profit-focused empowering system engine,3000.0,6722.0,successful,65,US,USD,2020-12-17,2021-07-03,cat4,subcat4
Synchronized cohesive encoding,8700.0,1577.0,failed,15,US,USD,2021-11-23,2021-12-06,cat1,subcat1
Synergistic dynamic utilization,7200.0,3301.0,failed,37,US,USD,2020-04-21,2021-04-24,cat4,subcat4
Triple-buffered bi-directional model,167400.0,196386.0,successful,3777,IT,EUR,2021-03-07,2021-03-22,cat3,subcat3
Polarized tertiary function,5500.0,11952.0,successful,184,GB,GBP,2020-10-14,2021-06-06,cat4,subcat4
Configurable fault-tolerant structure,3500.0,3930.0,successful,85,US,USD,2021-08-05,2022-01-02,cat4,subcat4
Digitized 24/7 budgetary management,7900.0,5729.0,failed,112,US,USD,2021-06-03,2021-06-18,cat4,subcat4
Stand-alone zero tolerance algorithm,2300.0,4883.0,successful,144,US,USD,2021-01-31,2021-06-07,cat2,subcat2
Implemented tangible support,73000.0,175015.0,successful,1902,US,USD,2021-01-29,2021-07-16,cat4,subcat4
Reactive radical framework,6200.0,11280.0,successful,105,US,USD,2020-12-26,2021-04-22,cat4,subcat4
Object-based full-range knowledge user,6100.0,10012.0,successful,132,US,USD,2021-02-11,2021-06-13,cat4,subcat4
Enhanced composite contingency,103200.0,1690.0,failed,21,US,USD,2020-09-08,2021-01-11,cat4,subcat4
Cloned fresh-thinking model,171000.0,84891.0,canceled,976,US,USD,2021-11-08,2022-01-26,cat5,subcat5
Total dedicated benchmark,9200.0,10093.0,successful,96,US,USD,2020-07-20,2021-04-25,cat6,subcat14
Streamlined human-resource Graphic Interface,7800.0,3839.0,failed,67,US,USD,2020-09-14,2021-04-07,cat7,subcat12
Upgradable analyzing core,9900.0,6161.0,live,66,CA,CAD,2021-04-27,2021-11-24,cat3,subcat3
Profound exuding pricing structure,43000.0,5615.0,failed,78,US,USD,2020-05-18,2021-05-17,cat4,subcat4
Horizontal optimizing model,9600.0,6205.0,failed,67,AU,AUD,2021-03-14,2021-06-20,cat4,subcat4
Synchronized fault-tolerant algorithm,7500.0,11969.0,successful,114,US,USD,2020-09-16,2021-07-10,cat1,subcat1
Streamlined 5thgeneration intranet,10000.0,8142.0,failed,263,AU,AUD,2020-12-20,2021-01-31,cat8,subcat15
Cross-group clear-thinking task-force,172000.0,55805.0,failed,1691,US,USD,2021-04-08,2021-12-18,cat8,subcat15
Public-key bandwidth-monitored intranet,153700.0,15238.0,failed,181,US,USD,2021-02-17,2021-06-05,cat4,subcat4
Upgradable clear-thinking hardware,3600.0,961.0,failed,13,US,USD,2021-09-09,2021-10-21,cat4,subcat4
Integrated holistic paradigm,9400.0,5918.0,canceled,160,US,USD,2021-05-09,2021-06-18,cat5,subcat5
Seamless clear-thinking conglomeration,5900.0,9520.0,successful,203,US,USD,2021-02-22,2021-02-28,cat3,subcat3
Persistent content-based methodology,100.0,5.0,failed,1,US,USD,2021-04-22,2021-08-20,cat4,subcat4
Re-engineered 24hour matrix,14500.0,159056.0,successful,1559,US,USD,2020-04-26,2021-02-28,cat2,subcat2
Virtual multi-tasking core,145500.0,101987.0,canceled,2266,US,USD,2020-07-20,2021-07-24,cat5,subcat5
Streamlined fault-tolerant conglomeration,3300.0,1980.0,failed,21,US,USD,2021-03-07,2021-09-06,cat5,subcat23
Enterprise-wide client-driven policy,42600.0,156384.0,successful,1548,AU,AUD,2021-07-19,2021-12-03,cat3,subcat3
Function-based next generation emulation,700.0,7763.0,successful,80,US,USD,2021-04-20,2021-05-15,cat4,subcat4
Re-engineered composite focus group,187600.0,35698.0,failed,830,US,USD,2020-08-17,2021-08-05,cat5,subcat23
Profound mission-critical function,9800.0,12434.0,successful,131,US,USD,2020-08-17,2021-04-06,cat4,subcat4
De-engineered zero-defect open system,1100.0,8081.0,successful,112,US,USD,2021-07-15,2021-10-04,cat5,subcat11
Operative hybrid utilization,145000.0,6631.0,failed,130,US,USD,2021-09-17,2021-10-03,cat6,subcat19
Function-based interactive matrix,5500.0,4678.0,failed,55,US,USD,2021-02-04,2021-03-07,cat3,subcat3
Optimized content-based collaboration,5700.0,6800.0,successful,155,US,USD,2021-04-18,2021-11-16,cat6,subcat19
User-centric cohesive policy,3600.0,10657.0,successful,266,US,USD,2021-01-21,2021-11-02,cat1,subcat1
Ergonomic methodical hub,5900.0,4997.0,failed,114,IT,EUR,2021-07-23,2021-11-25,cat8,subcat15
Devolved disintermediate encryption,3700.0,13164.0,successful,155,US,USD,2020-04-25,2021-03-28,cat4,subcat4
Phased clear-thinking policy,2200.0,8501.0,successful,207,GB,GBP,2020-04-09,2021-03-05,cat2,subcat2
Seamless solution-oriented capacity,1700.0,13468.0,successful,245,US,USD,2020-10-08,2021-08-23,cat4,subcat4
Organized human-resource attitude,88400.0,121138.0,successful,1573,US,USD,2020-09-22,2021-04-06,cat2,subcat22
Open-architected disintermediate budgetary management,2400.0,8117.0,successful,114,US,USD,2020-12-21,2021-10-27,cat1,subcat1
Multi-lateral radical solution,7900.0,8550.0,successful,93,US,USD,2021-04-25,2021-09-11,cat4,subcat4
Inverse context-sensitive info-mediaries,94900.0,57659.0,failed,594,US,USD,2021-04-10,2021-05-18,cat4,subcat4
Versatile neutral workforce,5100.0,1414.0,failed,24,US,USD,2020-09-17,2021-04-26,cat5,subcat20
Multi-tiered systematic knowledge user,42700.0,97524.0,successful,1681,US,USD,2020-12-18,2021-03-15,cat3,subcat3
Programmable multi-state algorithm,121100.0,26176.0,failed,252,US,USD,2020-07-30,2021-05-04,cat4,subcat4
Multi-channeled reciprocal interface,800.0,2991.0,successful,32,US,USD,2020-05-13,2021-03-06,cat2,subcat8
Right-sized maximized migration,5400.0,8366.0,successful,135,US,USD,2020-07-22,2021-08-07,cat4,subcat4
Self-enabling value-added artificial intelligence,4000.0,12886.0,successful,140,US,USD,2021-02-28,2021-08-08,cat4,subcat4
Vision-oriented interactive solution,7000.0,5177.0,failed,67,US,USD,2021-04-22,2022-01-08,cat1,subcat1
Fundamental user-facing productivity,1000.0,8641.0,successful,92,US,USD,2021-08-10,2021-08-20,cat7,subcat12
Innovative well-modulated capability,60200.0,86244.0,successful,1015,GB,GBP,2020-07-17,2021-03-03,cat4,subcat4
Universal fault-tolerant orchestration,195200.0,78630.0,failed,742,US,USD,2021-03-27,2021-11-17,cat6,subcat10
Grass-roots executive synergy,6700.0,11941.0,successful,323,US,USD,2021-06-26,2021-07-10,cat3,subcat3
Multi-layered optimal application,7200.0,6115.0,failed,75,US,USD,2020-02-21,2021-02-23,cat5,subcat5
Business-focused full-range core,129100.0,188404.0,successful,2326,US,USD,2021-06-22,2021-12-17,cat5,subcat5
Exclusive system-worthy Graphic Interface,6500.0,9910.0,successful,381,US,USD,2021-04-14,2021-05-29,cat4,subcat4
Enhanced optimal ability,170600.0,114523.0,failed,4405,US,USD,2020-11-21,2021-01-19,cat2,subcat2
Optional zero administration neural-net,7800.0,3144.0,failed,92,US,USD,2021-04-12,2021-07-02,cat2,subcat2
